type,mistral-openai,mistral-together,mistral-anthropic,openai-together,openai-anthropic,together-anthropic
review,96.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,76.66666666666666
review,76.66666666666666,96.66666666666667,66.66666666666666,76.66666666666666,66.66666666666666,76.66666666666666
review,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667
review,86.66666666666667,76.66666666666666,76.66666666666666,76.66666666666666,76.66666666666666,76.66666666666666
review,76.66666666666666,66.66666666666666,76.66666666666666,76.66666666666666,86.66666666666667,76.66666666666666
review,86.66666666666667,86.66666666666667,76.66666666666666,86.66666666666667,76.66666666666666,76.66666666666666
review,76.66666666666666,43.333333333333336,86.66666666666667,43.333333333333336,76.66666666666666,43.333333333333336
review,76.66666666666666,76.66666666666666,76.66666666666666,76.66666666666666,86.66666666666667,76.66666666666666
review,43.333333333333336,66.66666666666666,66.66666666666666,33.33333333333333,33.33333333333333,76.66666666666666
review,76.66666666666666,43.333333333333336,76.66666666666666,43.333333333333336,76.66666666666666,53.333333333333336
review,73.33333333333334,53.333333333333336,96.66666666666667,86.66666666666667,63.33333333333333,53.333333333333336
review,96.66666666666667,86.66666666666667,96.66666666666667,96.66666666666667,106.66666666666667,96.66666666666667
review,76.66666666666666,96.66666666666667,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
review,86.66666666666667,43.333333333333336,86.66666666666667,43.333333333333336,86.66666666666667,53.333333333333336
review,86.66666666666667,96.66666666666667,86.66666666666667,86.66666666666667,76.66666666666666,86.66666666666667
review,86.66666666666667,76.66666666666666,66.66666666666666,86.66666666666667,76.66666666666666,76.66666666666666
review,76.66666666666666,76.66666666666666,86.66666666666667,76.66666666666666,76.66666666666666,76.66666666666666
review,86.66666666666667,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,76.66666666666666
review,76.66666666666666,86.66666666666667,76.66666666666666,86.66666666666667,86.66666666666667,76.66666666666666
review,63.33333333333333,53.333333333333336,63.33333333333333,86.66666666666667,96.66666666666667,86.66666666666667
review,76.66666666666666,76.66666666666666,96.66666666666667,96.66666666666667,86.66666666666667,86.66666666666667
review,86.66666666666667,86.66666666666667,86.66666666666667,76.66666666666666,86.66666666666667,76.66666666666666
review,86.66666666666667,76.66666666666666,86.66666666666667,76.66666666666666,86.66666666666667,76.66666666666666
review,33.33333333333333,53.333333333333336,66.66666666666666,66.66666666666666,53.333333333333336,33.33333333333333
review,53.333333333333336,33.33333333333333,53.333333333333336,66.66666666666666,86.66666666666667,66.66666666666666
review,96.66666666666667,96.66666666666667,86.66666666666667,96.66666666666667,86.66666666666667,86.66666666666667
review,96.66666666666667,96.66666666666667,86.66666666666667,96.66666666666667,86.66666666666667,86.66666666666667
review,76.66666666666666,66.66666666666666,66.66666666666666,76.66666666666666,66.66666666666666,76.66666666666666
review,76.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,76.66666666666666
review,53.333333333333336,86.66666666666667,66.66666666666666,43.333333333333336,33.33333333333333,66.66666666666666
review,76.66666666666666,66.66666666666666,76.66666666666666,76.66666666666666,86.66666666666667,76.66666666666666
