type,mistral-openai,mistral-together,mistral-anthropic,openai-together,openai-anthropic,together-anthropic
review,85,80,80,80,80,75
review,75,85,70,75,70,75
review,80,80,80,80,80,80
review,80,75,75,75,75,75
review,75,70,75,75,80,75
review,80,80,75,80,75,75
review,75,0,80,0,75,0
review,75,75,75,75,80,75
review,0,70,70,0,0,75
review,75,0,75,0,75,0
review,0,0,85,80,0,0
review,85,80,85,85,90,85
review,75,85,70,70,70,70
review,80,0,80,0,80,0
review,80,85,80,80,75,80
review,80,75,70,80,75,75
review,75,75,80,75,75,75
review,80,70,70,70,70,75
review,75,80,75,80,80,75
review,0,0,0,80,85,80
review,75,75,85,85,80,80
review,80,80,80,75,80,75
review,80,75,80,75,80,75
review,0,0,70,70,0,0
review,0,0,0,70,80,70
review,85,85,80,85,80,80
review,85,85,80,85,80,80
review,75,70,70,75,70,75
review,75,70,70,70,70,75
review,40,80,70,35,30,70
review,75,70,75,75,80,75
review,75,75,75,75,75,75
review,80,85,80,80,80,80
review,80,75,75,75,75,70
review,85,70,75,70,75,70
review,80,75,75,75,75,75
review,85,0,85,0,85,0
review,85,80,75,80,75,75
review,0,0,75,85,0,0
review,80,80,80,80,80,80
review,80,85,75,85,75,75
review,75,75,75,75,75,75
review,70,0,75,0,70,0
review,0,0,80,0,0,0
review,75,75,75,80,75,75
review,85,85,80,85,80,85
review,0,0,0,85,85,85
review,80,0,80,0,80,0
review,85,80,75,80,75,75
review,85,85,80,85,80,80
review,85,0,80,0,80,0
review,80,75,70,75,70,70
review,0,75,75,0,0,75
review,75,0,70,0,70,0
review,80,75,0,75,0,0
review,80,75,70,75,70,70
review,85,75,0,75,0,0
review,75,70,70,80,80,80
review,80,75,75,75,75,75
review,80,75,80,75,80,75
review,80,80,80,80,80,80
review,80,80,80,80,80,80
review,0,0,70,75,0,0
review,80,75,70,75,70,70
review,85,85,85,85,85,85
review,0,0,0,85,80,80
review,90,85,0,85,0,0
review,75,75,75,75,75,80
review,75,75,75,75,75,75
review,75,80,80,75,75,80
review,0,75,70,0,0,75
review,70,0,70,0,75,0
review,75,0,75,0,75,0
review,85,70,80,70,80,70
review,80,0,0,0,0,0
review,90,90,85,90,85,85
review,75,70,75,70,75,70
review,80,70,80,70,80,75
review,0,0,85,85,0,0
review,0,0,75,0,0,0
review,80,0,75,0,75,0
review,75,0,70,0,70,0
review,80,0,70,0,70,0
review,0,0,70,0,0,0
review,80,0,75,0,75,0
review,75,0,70,0,70,0
review,70,70,70,70,75,70
review,80,0,75,0,75,0
review,80,0,80,0,80,0
review,80,75,75,80,75,75
review,0,0,0,80,75,75
review,85,75,75,75,75,70
review,80,75,75,75,75,75
review,80,0,80,0,85,0
review,70,70,75,75,75,75
review,75,75,0,75,0,0
review,0,0,70,0,0,0
review,70,70,70,75,80,70
review,75,0,70,0,70,0
product,80,70,70,70,70,80
product,90,80,70,80,70,70
product,90,80,70,80,70,70
product,75,75,70,75,70,70
product,80,70,70,70,70,70
product,85,75,70,75,70,70
product,80,70,70,70,70,70
product,85,0,70,0,70,0
product,80,80,70,80,70,70
product,85,75,70,75,70,70
product,80,75,0,75,0,0
product,85,0,70,0,70,0
product,85,85,70,85,70,70
product,80,85,70,80,70,70
product,80,75,70,75,70,70
product,80,80,70,80,70,70
product,80,80,75,85,75,75
product,80,80,70,80,70,70
product,75,70,70,70,70,70
product,70,90,70,70,70,70
product,85,75,70,75,70,70
product,70,70,70,80,80,80
product,75,75,70,70,70,70
product,75,75,70,80,70,70
product,80,0,70,0,70,0
product,75,75,70,75,70,70
product,80,70,80,70,80,70
product,75,70,70,70,70,70
product,80,0,70,0,70,0
product,70,80,70,70,75,70
product,80,80,70,80,70,70
product,85,85,70,85,70,70
