review,product,bert_score,improved_bert_score,cosine_similarity,jaccard_similarity,levenshtein_distance,overlap_coefficient,bleu_score,rouge_score,tfidf_cosine_similarity,mean_similarity
"A bit expensive, but worth it for the spotless results.","Ariel Powder Detergent – Whites Brighter, Even in Cold Water",0.3205309808254242,0.06,0.5281619429588318,0.0,0.8285714285714285,0.0,0.0,0.0,0.0,0.19302937248396496
"A bit expensive, but worth it for the spotless results.","Arm & Hammer Powder Detergent – Great Value, Lasts Forever",0.18500584363937378,0.07,0.571509063243866,0.0,0.8826530612244898,0.0,0.0,0.0,0.0,0.18990755201196996
"A bit expensive, but worth it for the spotless results.","Banana Boat Beach-Saver Sunscreen – No Burns, Just Fun",0.20699885487556458,0.05,0.5016146898269653,0.0,0.8681506849315068,0.0,0.0,0.0,0.0,0.18075158107044853
"A bit expensive, but worth it for the spotless results.",Cascade Complete Detergent – No Pre-Rinsing Needed for Grease,0.22986158728599548,0.58,0.5311184525489807,0.0,0.8870481927710844,0.0,0.0,0.0,0.0,0.24755869251178453
"A bit expensive, but worth it for the spotless results.","Cascade Platinum Detergent – Pricey, But Worth It for Results",0.2921929955482483,0.61,0.7790365815162659,0.07142857142857142,0.9,0.2,0.06838606271907605,0.24999999625000005,0.23404233436139057,0.37834294909150584
"A bit expensive, but worth it for the spotless results.",Cascade Sparkling Clean Detergent – Your Dishes Will Shine,0.2700940668582916,0.6,0.5401273369789124,0.0,0.8496487119437939,0.0,0.0,0.15384614958579892,0.08471854517754149,0.2776038678382598
"A bit expensive, but worth it for the spotless results.",CeraVe Lightweight Sunscreen – Perfect Under Makeup,0.1620628833770752,0.05,0.5217379331588745,0.0,0.8150819672131148,0.0,0.0,0.0,0.0,0.1720980870832294
"A bit expensive, but worth it for the spotless results.",Contigo All-Day Heat Retention Mug – Ideal for Travel,0.12074360996484756,0.03,0.37725862860679626,0.0,0.9021428571428571,0.0,0.0,0.0,0.0,0.15890501063494455
"A bit expensive, but worth it for the spotless results.",Contigo Leak-Proof Mug – Toss in Your Bag with Confidence,0.24483279883861542,0.04,0.5143255591392517,0.0,0.8851162790697674,0.0,0.0,0.0,0.0,0.18714162633862605
"A bit expensive, but worth it for the spotless results.",Contigo Workday Travel Mug – Keeps Coffee Hot for Hours!,0.2264091670513153,0.04,0.4485209882259369,0.0,0.9184210526315789,0.0,0.0,0.0,0.0,0.1814834675454257
"A bit expensive, but worth it for the spotless results.","Coppertone Suncream – Strong Scent, Strong Protection",0.2116101086139679,0.04,0.4996235966682434,0.0,0.8651428571428572,0.0,0.0,0.0,0.0,0.1795973958250076
"A bit expensive, but worth it for the spotless results.",Dreft Baby Powder Detergent – Gentle on Baby Clothes,0.30518838763237,0.06,0.5214877128601074,0.0,0.8353246753246754,0.0,0.0,0.0,0.0,0.1913334195352392
